update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what
1176195148,normal,1176195328,critical,181769,,,,,,
1176210270,normal,1176210319,critical,181826,,,,,,
1176215961,normal,1176215973,major,181839,,,,,,
1176207308,enhancement,1176217723,minor,181817,,,,,,
1174575732,normal,1176277318,critical,178884,,,,,,
1161736112,normal,1176282603,major,162164,,,,,,
1149081003,major,1176304644,normal,144749,,,,,,
1176311646,normal,1176311687,major,182045,,,,,,
1176174523,major,1176320796,normal,181725,,,,,,
1167519003,minor,1176320870,major,169291,,,,,,
1176360895,normal,1176360953,trivial,182122,,,,,,
1176343565,normal,1176382293,major,182090,,,,,,
1176375794,major,1176425015,normal,182175,,,,,,
1176302188,normal,1176453005,trivial,182017,,,,,,
1176417170,enhancement,1176474788,minor,182267,,,,,,
