update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what,update/5/when,update/5/what
1224428675,JavaBrowsingPart not clearing fPreveiousSelectionProvider,1224473741,[browsing] JavaBrowsingPart not clearing fPreveiousSelectionProvider,251327,,,,,,,,
1224235904,Packages view does not honor 'empty parent packages',1224473916,[browsing] Packages view does not honor 'empty parent packages',251249,,,,,,,,
1224475291,Working set assignment dialog could be improved,1224479673,[package explorer] 'Configure...' looks strange on working set assignment dialog,251362,,,,,,,,
1224146063,Can't set breakpoint in anonymous inner class inside interface,1224515091,[breakpoints] Can't set breakpoint in anonymous inner class inside interface,251088,,,,,,,,
1224576183,java.lang.IllegalArgumentException: info cannot be null (StackMapFrame.java),1224576580,[1.6][compiler] java.lang.IllegalArgumentException: info cannot be null (StackMapFrame.java),251539,,,,,,,,
1224652543,NPE if type collides with a package,1224665162,[compiler] NPE if type collides with a package,251690,,,,,,,,
1224477569,Wrong method's arguments names appear when adding unimplemented method,1224665582,[assist] Wrong method's arguments names appear when adding unimplemented method,251367,,,,,,,,
1224069170,Stack overflow on static import.,1224665703,[compiler] Stack overflow on static import.,250975,1224848989,[1.5][compiler] Stack overflow on static import.,,,,,,
1224588751,encapsulate field refactoring fails with splitted array type,1224667515,[encapsulate field] encapsulate field refactoring fails with splitted array type,251572,,,,,,,,
1223371572,Java Editor Save Actions,1224669264,[clean up] source corrupted during save with organize imports,249975,,,,,,,,
1223943146,Cannot delete an unsaved file in eclipse 3.4,1224693241,[ltk] Cannot delete an unsaved file in eclipse 3.4,250714,,,,,,,,
1224684184,Message dialog for every save,1224724239,[clean up] Message dialog for every save,251771,,,,,,,,
1224727293,[1.5][compiler] Dup #valueOf(...) should keep the synthetic one,1224727342,[1.5][compiler] Dup Enum#valueOf(...) should keep the synthetic one,251814,,,,,,,,
1224732290,"Fail to invoke ""Clean Up"" at project level",1224734011,"[clean up] Fail to invoke ""Clean Up"" at project level",251817,,,,,,,,
1224680102,[ltk] Undoing a project delete re-assigns markers from the file to the project,1224751725,[ltk] Undoing a project delete has problems with encoding and markers,251758,,,,,,,,
1225079479,Compile warning in official build,1225080366,Compile warnings in official build,252141,,,,,,,,
1225033250,[1.5] raw type diagnostic not coherent with javac one,1225083502,[1.5][compiler] raw type diagnostic not coherent with javac one,252120,,,,,,,,
1225135941,Internal compiler error: ArrayIndexOutOfBoundsException,1225180468,[1.5][compiler] Internal compiler error: ArrayIndexOutOfBoundsException,252288,,,,,,,,
